date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:48:15	119612/119612	---M--	200	added ('OK')	text/html	etag:%2297bb74-1d33c-5cd6cebf51b5c%22	https://portotheme.com/html/wolmart/blog-grid-2cols.html	C:/My%20Web%20Sites/wolmart/portotheme.com/html/wolmart/blog-grid-2cols.html	(from https://portotheme.com/html/wolmart/demo1.html)
05:48:16	122488/122488	---M--	200	added ('OK')	text/html	etag:%2297bb78-1de78-5cd6cebf5232c%22	https://portotheme.com/html/wolmart/blog-grid-4cols.html	C:/My%20Web%20Sites/wolmart/portotheme.com/html/wolmart/blog-grid-4cols.html	(from https://portotheme.com/html/wolmart/demo1.html)
05:48:16	119680/119680	---M--	200	added ('OK')	text/html	etag:%2297bb91-1d380-5cd6cebf555f4%22	https://portotheme.com/html/wolmart/blog-masonry-3cols.html	C:/My%20Web%20Sites/wolmart/portotheme.com/html/wolmart/blog-masonry-3cols.html	(from https://portotheme.com/html/wolmart/demo1.html)
05:48:16	134091/134091	---M--	200	added ('OK')	text/html	etag:%2297b233-20bcb-5cd6cebea2a98%22	https://portotheme.com/html/wolmart/blog-grid-sidebar.html	C:/My%20Web%20Sites/wolmart/portotheme.com/html/wolmart/blog-grid-sidebar.html	(from https://portotheme.com/html/wolmart/demo1.html)
05:48:17	119670/119670	---M--	200	added ('OK')	text/html	etag:%2297b24c-1d376-5cd6cebea5978%22	https://portotheme.com/html/wolmart/blog-masonry-2cols.html	C:/My%20Web%20Sites/wolmart/portotheme.com/html/wolmart/blog-masonry-2cols.html	(from https://portotheme.com/html/wolmart/demo1.html)
05:48:17	134461/134461	---M--	200	added ('OK')	text/html	etag:%2297b243-20d3d-5cd6cebea49d8%22	https://portotheme.com/html/wolmart/blog-masonry-sidebar.html	C:/My%20Web%20Sites/wolmart/portotheme.com/html/wolmart/blog-masonry-sidebar.html	(from https://portotheme.com/html/wolmart/demo1.html)
05:48:17	120724/120724	---M--	200	added ('OK')	text/html	etag:%2297bb65-1d794-5cd6cebf503ec%22	https://portotheme.com/html/wolmart/blog-masonry-4cols.html	C:/My%20Web%20Sites/wolmart/portotheme.com/html/wolmart/blog-masonry-4cols.html	(from https://portotheme.com/html/wolmart/demo1.html)
05:48:17	115692/115692	---M--	200	added ('OK')	text/html	etag:%2297bb5d-1c3ec-5cd6cebf4f44c%22	https://portotheme.com/html/wolmart/blog-mask-grid.html	C:/My%20Web%20Sites/wolmart/portotheme.com/html/wolmart/blog-mask-grid.html	(from https://portotheme.com/html/wolmart/demo1.html)
05:48:17	117582/117582	---M--	200	added ('OK')	text/html	etag:%2297b25b-1cb4e-5cd6cebea74d0%22	https://portotheme.com/html/wolmart/blog-mask-masonry.html	C:/My%20Web%20Sites/wolmart/portotheme.com/html/wolmart/blog-mask-masonry.html	(from https://portotheme.com/html/wolmart/demo1.html)
05:48:17	140776/140776	---M--	200	added ('OK')	text/html	etag:%2297b230-225e8-5cd6cebea26b0%22	https://portotheme.com/html/wolmart/post-single.html	C:/My%20Web%20Sites/wolmart/portotheme.com/html/wolmart/post-single.html	(from https://portotheme.com/html/wolmart/demo1.html)
